Phase,Week,Day,Card Title,Checklist Name,Tasks
1,1,1,Day 1 — Define target role stack,Daily Tasks,"- [ ] Write down your exact target titles: Director of Product and Principal PM
- [ ] List 15 target companies across Canada and the US
- [ ] Choose primary focus: AI platform, AI product, or AI-enabled growth
- [ ] Write 5 bullets on why you are credible for these roles
- [ ] Create a single folder for all job-search artifacts"
1,1,2,Day 2 — Analyze target job descriptions,Daily Tasks,"- [ ] Collect 8 live job descriptions for Director or Principal PM roles
- [ ] Highlight repeated requirements across the job descriptions
- [ ] List the top 10 skills being screened for
- [ ] Mark each skill as strong, medium, or weak for yourself
- [ ] Write a one-page gap summary"
1,1,3,Day 3 — Write career narrative v1,Daily Tasks,"- [ ] Draft your career story from early PM work to HelloFresh
- [ ] Write a 90-second Tell me about yourself answer
- [ ] Write a 30-second executive intro version
- [ ] Practice both versions out loud 3 times
- [ ] Record yourself once and note weak spots"
1,1,4,Day 4 — Build leadership story bank,Daily Tasks,"- [ ] List 10 leadership situations from your career
- [ ] Choose 5 strongest stories for interviews
- [ ] For 2 stories write Situation, Task, Action, Result
- [ ] Add concrete metrics to each story
- [ ] Tag each story by theme: strategy, execution, conflict, failure, influence"
1,1,5,Day 5 — Refresh product sense framework,Daily Tasks,"- [ ] Review one product sense framework you will use consistently
- [ ] Practice Improve Uber Eats in writing
- [ ] Structure the answer as user, pain point, prioritization, solution, metrics
- [ ] Time-box yourself to 30 minutes
- [ ] Rewrite the answer more crisply"
1,1,6,Day 6 — Refresh metrics framework,Daily Tasks,"- [ ] Review north star, input, output, and guardrail metrics
- [ ] Build a metric tree for Spotify or Instacart
- [ ] Write 3 risks of optimizing only one top-level metric
- [ ] Practice explaining metric tradeoffs out loud
- [ ] Save your metric-tree template"
1,1,7,Day 7 — Weekly review and reset,Daily Tasks,"- [ ] Review all outputs from Days 1 to 6
- [ ] List your top 3 weak areas
- [ ] Rewrite one weak answer from scratch
- [ ] Set goals for Week 2
- [ ] Clean and organize your files"
1,2,8,Day 8 — Learn product strategy structure,Daily Tasks,"- [ ] Review a simple strategy structure: problem, thesis, bets, risks, metrics
- [ ] Pick one familiar product area to use as a running case
- [ ] Write a one-page product strategy for it
- [ ] Define what you would explicitly not do
- [ ] Practice summarizing the strategy in 2 minutes"
1,2,9,Day 9 — Practice strategy case 1,Daily Tasks,"- [ ] Solve a strategy prompt such as Launch a new AI feature for HelloFresh
- [ ] Write assumptions before solutions
- [ ] Prioritize 3 possible directions
- [ ] Define success metrics and risks
- [ ] Review your answer against clarity and tradeoff quality"
1,2,10,Day 10 — Learn prioritization and execution,Daily Tasks,"- [ ] Review RICE or another prioritization method
- [ ] Take one real past backlog and rescore it
- [ ] Write why the top 3 items win
- [ ] Write one paragraph on how you would explain this to engineering
- [ ] Save your prioritization template"
1,2,11,Day 11 — Prepare stakeholder stories,Daily Tasks,"- [ ] Write one conflict story with engineering or design
- [ ] Write one alignment story with senior leadership
- [ ] Add metrics and business impact to both
- [ ] Practice both stories out loud
- [ ] Note filler words or vague phrases to remove"
1,2,12,Day 12 — Prepare behavioral answers 1,Daily Tasks,"- [ ] Write answers for Biggest impact and Biggest failure
- [ ] Use STAR structure for both
- [ ] Add one reflection lesson to each answer
- [ ] Practice each answer twice
- [ ] Trim each answer to under 2 minutes"
1,2,13,Day 13 — Run mock interview 1,Daily Tasks,"- [ ] Do one product case mock interview
- [ ] Do one behavioral mock interview
- [ ] Score yourself on clarity, depth, and structure
- [ ] Write the top 3 mistakes you made
- [ ] Rewrite one answer immediately"
1,2,14,Day 14 — Review and tighten week 2,Daily Tasks,"- [ ] Review all work from Days 8 to 13
- [ ] Update your gap list
- [ ] Choose the 2 themes to improve next week
- [ ] Practice your intro pitch again
- [ ] Archive finished notes and label drafts clearly"
1,3,15,Day 15 — Learn platform and systems thinking,Daily Tasks,"- [ ] Review the difference between feature, product, and platform thinking
- [ ] Write a one-page note on when to build platform first
- [ ] Choose one AI platform example to study
- [ ] Explain platform tradeoffs out loud
- [ ] Save a reusable platform-answer outline"
1,3,16,Day 16 — Practice platform case,Daily Tasks,"- [ ] Solve a prompt about building an internal AI platform
- [ ] Write user segments and their needs
- [ ] Define MVP scope and non-goals
- [ ] List adoption risks and success metrics
- [ ] Time-box to 35 minutes"
1,3,17,Day 17 — Study experimentation basics,Daily Tasks,"- [ ] Review how to form a hypothesis for an A/B test
- [ ] Write one experiment design for a product you know
- [ ] Define primary metric, guardrails, and duration assumptions
- [ ] List 3 reasons experiment results can mislead you
- [ ] Save your experiment template"
1,3,18,Day 18 — Practice execution case 1,Daily Tasks,"- [ ] Solve a prompt like Why is a product metric dropping
- [ ] Structure your answer as diagnose, prioritize, act
- [ ] List the first 5 questions you would ask
- [ ] Define short-term and long-term fixes
- [ ] Review for rigor and speed"
1,3,19,Day 19 — Deepen leadership stories,Daily Tasks,"- [ ] Write one story about influencing without authority
- [ ] Write one story about recovering from ambiguity
- [ ] Add stronger business outcomes to both
- [ ] Practice both aloud
- [ ] Cut jargon from both answers"
1,3,20,Day 20 — Run mock interview 2,Daily Tasks,"- [ ] Do one execution-focused mock
- [ ] Do one stakeholder or conflict mock
- [ ] Score yourself using the same rubric as Day 13
- [ ] Write 3 improvements
- [ ] Apply one improvement immediately"
1,3,21,Day 21 — Weekly review and reset,Daily Tasks,"- [ ] Review outputs from Days 15 to 20
- [ ] List recurring feedback patterns
- [ ] Update your personal interview rubric
- [ ] Choose next week’s focus areas
- [ ] Clean your artifact folder"
1,4,22,Day 22 — Resume rewrite v1,Daily Tasks,"- [ ] Update headline and summary for senior PM roles
- [ ] Rewrite 3 bullets to be outcome-first
- [ ] Add scale, revenue, or efficiency metrics where possible
- [ ] Tailor keywords toward Director and Principal roles
- [ ] Save as Resume_v1"
1,4,23,Day 23 — LinkedIn rewrite,Daily Tasks,"- [ ] Update LinkedIn headline for target roles
- [ ] Refresh About section with AI-forward positioning
- [ ] Rewrite your latest role summary with stronger impact language
- [ ] Turn on Open to Work if you want to use it
- [ ] Save a copy of the text in your notes"
1,4,24,Day 24 — Practice product case 2,Daily Tasks,"- [ ] Solve Improve onboarding for a subscription product
- [ ] Write user segments first
- [ ] Prioritize 3 friction points
- [ ] Define success metrics
- [ ] Practice the answer verbally once"
1,4,25,Day 25 — Prepare behavioral answers 2,Daily Tasks,"- [ ] Write answers for disagreement and managing up
- [ ] Use STAR format
- [ ] Add one reflection lesson to each
- [ ] Practice both answers
- [ ] Trim each under 2 minutes"
1,4,26,Day 26 — Run mock interview 3,Daily Tasks,"- [ ] Do one product sense mock
- [ ] Do one behavioral mock
- [ ] Score yourself on executive presence
- [ ] Write the top 3 improvements
- [ ] Rewrite one answer immediately"
1,4,27,Day 27 — Start networking system,Daily Tasks,"- [ ] List 20 people to reach out to over the next month
- [ ] Group them into recruiters, hiring managers, peers, and alumni
- [ ] Draft one networking message template
- [ ] Draft one follow-up message template
- [ ] Send 3 outreach messages"
1,4,28,Day 28 — Review and tighten week 4,Daily Tasks,"- [ ] Review Days 22 to 27
- [ ] Update resume based on mock feedback
- [ ] Refine LinkedIn headline if needed
- [ ] Note the top 2 stories you still need
- [ ] Set goals for the next phase"
1,5,29,Day 29 — Learn market analysis,Daily Tasks,"- [ ] Pick one market you understand well
- [ ] Write market size, trends, and key players
- [ ] List 3 shifts AI could cause in that market
- [ ] Write 3 product opportunities
- [ ] Practice summarizing the market in 2 minutes"
1,5,30,Day 30 — Practice strategy case 2,Daily Tasks,"- [ ] Solve a Three-year strategy case for an AI-enabled business
- [ ] Write the thesis first
- [ ] Define 3 strategic bets and 2 non-bets
- [ ] Add KPIs and top risks
- [ ] Review for altitude and focus"
2,5,31,Day 31 — Study pricing and monetization,Daily Tasks,"- [ ] Review common pricing models for SaaS or consumer products
- [ ] Pick one familiar product and redesign pricing
- [ ] Write expected tradeoffs and risks
- [ ] Define how you would test pricing changes
- [ ] Save the structure as a template"
2,5,32,Day 32 — Practice prioritization under constraints,Daily Tasks,"- [ ] Solve a case where budget is cut by 30 percent
- [ ] List all constraints first
- [ ] Choose what to cut and why
- [ ] Write stakeholder communication points
- [ ] Practice the answer verbally"
2,5,33,Day 33 — Prepare leadership answers 3,Daily Tasks,"- [ ] Write a story about building team trust
- [ ] Write a story about raising the bar on execution
- [ ] Add measurable outcomes
- [ ] Practice both stories
- [ ] Shorten each story to the strongest version"
2,5,34,Day 34 — Run mock interview 4,Daily Tasks,"- [ ] Do one strategy mock
- [ ] Do one leadership mock
- [ ] Score yourself on structure and confidence
- [ ] Write top 3 mistakes
- [ ] Fix one answer immediately"
2,5,35,Day 35 — Weekly review and reset,Daily Tasks,"- [ ] Review all outputs from Days 29 to 34
- [ ] Update your weakness tracker
- [ ] Choose one capability to double down on next week
- [ ] Review networking progress
- [ ] Organize files and rename drafts clearly"
2,6,36,Day 36 — Learn roadmapping for senior roles,Daily Tasks,"- [ ] Review roadmap principles for uncertain environments
- [ ] Write a 2-quarter roadmap for an AI initiative
- [ ] Include assumptions, dependencies, and milestones
- [ ] List what would change the roadmap
- [ ] Practice explaining it concisely"
2,6,37,Day 37 — Practice tradeoff decisions,Daily Tasks,"- [ ] Solve a tradeoff prompt around speed, quality, and scope
- [ ] Write your decision criteria first
- [ ] Choose one path and defend it
- [ ] List the key risks of your choice
- [ ] Practice explaining the decision to an executive"
2,6,38,Day 38 — Study stakeholder alignment,Daily Tasks,"- [ ] Write a one-page note on how you align Eng, Design, Data, and Execs
- [ ] List common sources of misalignment
- [ ] Write your approach to resolving them
- [ ] Turn it into a 90-second answer
- [ ] Practice once out loud"
2,6,39,Day 39 — Practice execution case 2,Daily Tasks,"- [ ] Solve a delayed-launch case
- [ ] Identify root-cause buckets
- [ ] Choose the first actions you would take
- [ ] Draft stakeholder communication points
- [ ] Review for realism and prioritization"
2,6,40,Day 40 — Run mock interview 5,Daily Tasks,"- [ ] Do one execution mock
- [ ] Do one conflict-resolution mock
- [ ] Score the answers
- [ ] Write 3 corrections
- [ ] Apply one correction immediately"
2,6,41,Day 41 — Refine behavioral bank,Daily Tasks,"- [ ] Review all behavioral answers written so far
- [ ] Remove overlap between stories
- [ ] Make sure each story has a distinct theme
- [ ] Improve weakest 2 stories
- [ ] Practice those 2 aloud"
2,6,42,Day 42 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 36 to 41
- [ ] Update your scoring sheet
- [ ] Choose 2 focus themes for next week
- [ ] Send 3 networking follow-ups
- [ ] Clean up notes and templates"
2,7,43,Day 43 — Learn system design basics for PMs,Daily Tasks,"- [ ] Review one system-design-for-PM framework
- [ ] Pick an AI or data product you understand
- [ ] Write the core components at a high level
- [ ] List the main tradeoffs
- [ ] Practice explaining architecture without over-detailing"
2,7,44,Day 44 — Practice platform case 2,Daily Tasks,"- [ ] Solve a case about shared AI tooling across teams
- [ ] Define user personas and internal customers
- [ ] List MVP capabilities
- [ ] Write adoption risks and success metrics
- [ ] Time-box to 35 minutes"
2,7,45,Day 45 — Study experimentation pitfalls,Daily Tasks,"- [ ] Review common A/B testing pitfalls
- [ ] Write 5 mistakes PMs make in experiment interpretation
- [ ] Take a past experiment and critique it
- [ ] Write one guardrail checklist
- [ ] Save it for later case prep"
2,7,46,Day 46 — Practice metric diagnosis,Daily Tasks,"- [ ] Solve a case where activation improves but retention falls
- [ ] Write possible causes
- [ ] Prioritize the investigation order
- [ ] Define follow-up experiments
- [ ] Review for rigor and balance"
2,7,47,Day 47 — Run mock interview 6,Daily Tasks,"- [ ] Do one systems/platform mock
- [ ] Do one metrics mock
- [ ] Score yourself on depth and clarity
- [ ] Write 3 improvements
- [ ] Fix the weakest answer"
2,7,48,Day 48 — Deepen leadership narratives,Daily Tasks,"- [ ] Write one story about a high-stakes decision
- [ ] Write one story about operating in ambiguity
- [ ] Add sharper business outcomes
- [ ] Practice both stories
- [ ] Cut unnecessary details"
2,7,49,Day 49 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 43 to 48
- [ ] Update weak-area tracker
- [ ] Pick your top 5 strongest stories overall
- [ ] Label them by interview type
- [ ] Set next week goals"
2,8,50,Day 50 — Company deep dive 1,Daily Tasks,"- [ ] Choose one top target company
- [ ] Read its product strategy, AI positioning, and recent news
- [ ] Write why you fit there
- [ ] List 3 interview themes likely to come up
- [ ] Save a company one-pager"
2,8,51,Day 51 — Company deep dive 2,Daily Tasks,"- [ ] Choose a second target company
- [ ] Repeat the same company one-pager process
- [ ] Compare its needs with company 1
- [ ] Write how your pitch changes between the two
- [ ] Save the second one-pager"
2,8,52,Day 52 — Practice company-specific case,Daily Tasks,"- [ ] Take one target company and solve a relevant product case
- [ ] Reference its business model in your answer
- [ ] Define metrics and risks
- [ ] Practice the answer verbally
- [ ] Review for company relevance"
2,8,53,Day 53 — Prepare behavioral answers 4,Daily Tasks,"- [ ] Write a story about resilience or persistence
- [ ] Write a story about changing your mind with data
- [ ] Use STAR structure
- [ ] Practice both stories
- [ ] Trim both to stronger versions"
2,8,54,Day 54 — Run mock interview 7,Daily Tasks,"- [ ] Do one company-specific strategy mock
- [ ] Do one behavioral mock
- [ ] Score yourself
- [ ] Write top 3 mistakes
- [ ] Refine one answer immediately"
2,8,55,Day 55 — Expand networking,Daily Tasks,"- [ ] Send 5 targeted outreach messages
- [ ] Ask 2 people for informational chats
- [ ] Track outreach in a simple spreadsheet
- [ ] Write follow-up dates
- [ ] Update your outreach templates"
2,8,56,Day 56 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 50 to 55
- [ ] Update company shortlist priorities
- [ ] Identify what type of companies fit your compensation target best
- [ ] Choose next week’s focus
- [ ] Organize files and links"
2,9,57,Day 57 — Write product strategy memo v1,Daily Tasks,"- [ ] Choose one AI product theme
- [ ] Write a 2 to 3 page strategy memo
- [ ] Include problem, users, bets, risks, metrics
- [ ] Add what you would not do
- [ ] Save as Strategy_Memo_v1"
2,9,58,Day 58 — Practice executive communication,Daily Tasks,"- [ ] Turn your strategy memo into a 5-minute talk track
- [ ] Write a top-down summary first
- [ ] Practice delivering it once standing up
- [ ] Note where you ramble
- [ ] Rewrite intro and ending"
2,9,59,Day 59 — Practice case 3 at executive level,Daily Tasks,"- [ ] Solve a product strategy case with stronger executive framing
- [ ] Start with business context
- [ ] Add tradeoffs, risks, and sequencing
- [ ] Limit answer to 7 minutes
- [ ] Review for altitude"
2,9,60,Day 60 — Run mock interview 8,Daily Tasks,"- [ ] Do one executive strategy mock
- [ ] Do one leadership mock
- [ ] Score yourself on crispness and presence
- [ ] Write top 3 improvements
- [ ] Fix the weakest section"
2,9,61,Day 61 — Refresh story bank and pitch,Daily Tasks,"- [ ] Review all career stories and pitch materials
- [ ] Finalize your 90-second intro
- [ ] Finalize your 30-second recruiter intro
- [ ] Practice both out loud
- [ ] Save your final v1 versions"
2,9,62,Day 62 — Follow up on networking,Daily Tasks,"- [ ] Send follow-ups to anyone who replied last week
- [ ] Ask for 2 warm introductions where appropriate
- [ ] Update your tracker
- [ ] Write notes from any conversations
- [ ] Refine your message templates"
2,9,63,Day 63 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 57 to 62
- [ ] Choose the 3 artifacts that need polishing next
- [ ] List top 5 weaknesses before full-loop practice
- [ ] Set next week goals
- [ ] Clean your workspace"
2,10,64,Day 64 — Run full interview loop 1,Daily Tasks,"- [ ] Do a product strategy mock
- [ ] Do an execution or metrics mock
- [ ] Do a behavioral or leadership mock
- [ ] Score all 3 on one sheet
- [ ] Write the biggest pattern across all 3"
2,10,65,Day 65 — Fix weak spots from loop 1,Daily Tasks,"- [ ] Review feedback from Day 64
- [ ] Rewrite your weakest answer
- [ ] Practice that answer twice
- [ ] Update your rubric with what good looks like
- [ ] Note one habit to remove"
2,10,66,Day 66 — Practice case 4,Daily Tasks,"- [ ] Solve a case on scaling an AI-enabled product
- [ ] Define user value and business value separately
- [ ] List key execution risks
- [ ] Define success metrics and milestones
- [ ] Review for structure and sharpness"
2,10,67,Day 67 — Refine behavioral answers 5,Daily Tasks,"- [ ] Rewrite your weakest behavioral story
- [ ] Make sure the action is clearly yours
- [ ] Add metrics and reflection
- [ ] Practice the story twice
- [ ] Compare it to your older version"
2,10,68,Day 68 — Run full interview loop 2,Daily Tasks,"- [ ] Do one product sense mock
- [ ] Do one execution mock
- [ ] Do one leadership mock
- [ ] Score all 3 on one rubric
- [ ] Write top 3 remaining gaps"
2,10,69,Day 69 — Polish resume v2,Daily Tasks,"- [ ] Tailor resume toward the roles you are now strongest for
- [ ] Strengthen keywords around AI, strategy, and leadership
- [ ] Trim weaker bullets
- [ ] Export to PDF
- [ ] Save as Resume_v2"
2,10,70,Day 70 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 64 to 69
- [ ] Decide your application start date
- [ ] Finalize shortlist of first 10 roles to apply to
- [ ] Choose the 2 skills to sharpen next week
- [ ] Organize application materials"
3,11,71,Day 71 — Start applications batch 1,Daily Tasks,"- [ ] Apply to 3 carefully chosen roles
- [ ] Tailor resume for each role
- [ ] Tailor the first 3 lines of your pitch for each
- [ ] Track submissions in a spreadsheet
- [ ] Save copies of each submission"
3,11,72,Day 72 — Practice case 5,Daily Tasks,"- [ ] Solve a case relevant to one role you applied for
- [ ] Reference the company context
- [ ] Write business goals, user needs, and metrics
- [ ] Practice the answer verbally
- [ ] Review for relevance"
3,11,73,Day 73 — Run mock interview 9,Daily Tasks,"- [ ] Do one product mock
- [ ] Do one behavioral mock
- [ ] Score both
- [ ] Write the top 3 mistakes
- [ ] Fix one answer immediately"
3,11,74,Day 74 — Do outreach batch 1,Daily Tasks,"- [ ] Send 5 outreach messages linked to live applications
- [ ] Ask one connection for recruiter guidance
- [ ] Update your tracker with dates
- [ ] Prepare one follow-up note
- [ ] Save all final message templates"
3,11,75,Day 75 — Behavioral drill under pressure,Daily Tasks,"- [ ] Practice 4 behavioral answers back-to-back
- [ ] Time each answer
- [ ] Cut any story that runs over 2 minutes
- [ ] Rewrite one weak answer
- [ ] Practice your intro pitch again"
3,11,76,Day 76 — Run mock interview 10,Daily Tasks,"- [ ] Do one execution mock
- [ ] Do one leadership mock
- [ ] Score both answers
- [ ] Write 3 improvements
- [ ] Apply the top improvement immediately"
3,11,77,Day 77 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 71 to 76
- [ ] Count applications and outreach sent
- [ ] Update your conversion tracker
- [ ] Choose what to improve before the next batch
- [ ] Organize files and notes"
3,12,78,Day 78 — Start applications batch 2,Daily Tasks,"- [ ] Apply to 3 more strong-fit roles
- [ ] Tailor resume and pitch for each
- [ ] Track each application
- [ ] Save JD snapshots for each
- [ ] Write why each role is a fit"
3,12,79,Day 79 — Practice case 6,Daily Tasks,"- [ ] Solve a company-specific product strategy case
- [ ] Start with assumptions and constraints
- [ ] Define 3 strategic choices
- [ ] Add metrics and risks
- [ ] Review for altitude"
3,12,80,Day 80 — Run mock interview 11,Daily Tasks,"- [ ] Do one strategy mock
- [ ] Do one metrics mock
- [ ] Score yourself
- [ ] Write 3 improvements
- [ ] Fix the weakest answer"
3,12,81,Day 81 — Prepare stakeholder answers 2,Daily Tasks,"- [ ] Write a story about managing a tough executive stakeholder
- [ ] Write a story about recovering alignment after disagreement
- [ ] Practice both answers
- [ ] Shorten both where needed
- [ ] Save final versions"
3,12,82,Day 82 — Do outreach batch 2,Daily Tasks,"- [ ] Send 5 follow-up or fresh outreach messages
- [ ] Request 2 informational conversations
- [ ] Update your spreadsheet
- [ ] Write notes from any replies
- [ ] Plan next follow-up dates"
3,12,83,Day 83 — Run mock interview 12,Daily Tasks,"- [ ] Do one company-specific mock
- [ ] Do one behavioral mock
- [ ] Score yourself on clarity and confidence
- [ ] Write 3 corrections
- [ ] Apply one correction immediately"
3,12,84,Day 84 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 78 to 83
- [ ] Update your application tracker
- [ ] List the companies with best traction
- [ ] Identify common interview themes from screens if any
- [ ] Set next week goals"
3,13,85,Day 85 — Run full interview loop 3,Daily Tasks,"- [ ] Do one product strategy mock
- [ ] Do one execution or metrics mock
- [ ] Do one leadership mock
- [ ] Score all 3 together
- [ ] Write the single biggest improvement area"
3,13,86,Day 86 — Practice case 7,Daily Tasks,"- [ ] Solve a case on launching an AI platform capability
- [ ] Define users, MVP, adoption plan, and metrics
- [ ] List risks and mitigations
- [ ] Practice the answer verbally
- [ ] Review for structure"
3,13,87,Day 87 — Behavioral mastery day,Daily Tasks,"- [ ] Practice your 6 strongest stories in one session
- [ ] Check that each has distinct themes
- [ ] Trim any unnecessary setup
- [ ] Add sharper reflection lines
- [ ] Record two stories and review them"
3,13,88,Day 88 — Apply to stretch roles,Daily Tasks,"- [ ] Apply to 2 high-upside stretch roles
- [ ] Tailor resume and pitch carefully
- [ ] Track each application
- [ ] Write why you are credible even if not a perfect match
- [ ] Save all files"
3,13,89,Day 89 — Run mock interview 13,Daily Tasks,"- [ ] Do one hard interviewer mock
- [ ] Ask for more probing follow-ups if using a partner
- [ ] Score yourself harshly
- [ ] Write the top 5 issues exposed
- [ ] Fix the top 2 immediately"
3,13,90,Day 90 — Weekly review and reset,Daily Tasks,"- [ ] Review Days 85 to 89
- [ ] Update your readiness score
- [ ] Decide whether to broaden or narrow the target list
- [ ] Refresh your priorities
- [ ] Organize all active application materials"
3,13,91,Day 91 — Prepare offer and negotiation notes,Daily Tasks,"- [ ] Write your compensation target ranges by geography
- [ ] List your non-negotiables and nice-to-haves
- [ ] Write a negotiation script for recruiter calls
- [ ] Write your rationale for target compensation
- [ ] Save as Compensation_Notes_v1"
3,14,92,Day 92 — Benchmark compensation,Daily Tasks,"- [ ] Research 10 compensation anchors for your target companies and cities
- [ ] Update your compensation spreadsheet
- [ ] Mark which companies can realistically meet your target
- [ ] Write a one-page summary of your market view
- [ ] Save the updated file"
3,14,93,Day 93 — Practice executive presentation,Daily Tasks,"- [ ] Turn one strong case into a 5-slide verbal narrative
- [ ] Practice presenting it in under 5 minutes
- [ ] Focus on top-down communication
- [ ] Note weak transitions
- [ ] Rewrite opening and close"
3,14,94,Day 94 — Run mock final-round interview,Daily Tasks,"- [ ] Do one final-round style strategy mock
- [ ] Do one leadership or vision mock
- [ ] Score both on executive presence
- [ ] Write top 3 corrections
- [ ] Practice one corrected answer again"
3,14,95,Day 95 — Review weak areas only,Daily Tasks,"- [ ] Review your latest 5 mock score sheets
- [ ] List the 3 weakest competencies still left
- [ ] Spend focused time on only those 3
- [ ] Rewrite one weak answer
- [ ] Practice it twice"
3,14,96,Day 96 — Light case and story polish,Daily Tasks,"- [ ] Practice one product case lightly
- [ ] Practice two key stories lightly
- [ ] Review your intro pitch
- [ ] Update your tracker with any live interviews
- [ ] Do not start new frameworks today"
3,14,97,Day 97 — Final application batch,Daily Tasks,"- [ ] Apply to 2 to 3 final strong-fit roles
- [ ] Tailor resume and pitch
- [ ] Update your tracker
- [ ] Save all submission artifacts
- [ ] Write follow-up dates"
3,14,98,Day 98 — Run mock interview 14,Daily Tasks,"- [ ] Do one mock in the format you expect next
- [ ] Score yourself
- [ ] Write final feedback notes
- [ ] Practice the weakest section once more
- [ ] Save the final score sheet"
3,15,99,Day 99 — Reflect and tune strategy,Daily Tasks,"- [ ] Review the full 100-day journey
- [ ] List what improved most
- [ ] List what still needs work
- [ ] Decide your next 30-day search strategy
- [ ] Write one paragraph on how you now position yourself"
3,15,100,Day 100 — Final readiness day,Daily Tasks,"- [ ] Review final resume, pitch, and story bank
- [ ] Review target companies and active pipeline
- [ ] Choose the 5 roles you most want now
- [ ] Commit to a weekly interview practice cadence going forward
- [ ] Celebrate finishing the 100-day plan"
